0,1,2,3,4,5,6
-0.9769346,-2.675638,-0.37653935,-2.0927389,-1.9672419,0.09776937,-0.63238686
-0.9528172,-2.675638,-0.37333614,-2.2706356,-2.1462977,-0.03448589,-0.6703247
-0.9528172,-2.675638,-0.47827035,-2.243802,-1.7030754,0.12672606,-0.72725314
-0.74446875,-2.675638,-0.37968332,-2.128517,-1.6823902,0.11916187,-0.765148
-1.4017665,-2.675638,-0.75499046,-2.5634859,-1.7397053,0.280492,-0.8031289
-0.9849737,-2.675638,-0.47192338,-2.5369837,-2.0637727,0.280492,-0.8600142
-0.72839046,-2.675638,-0.24770008,-1.9595648,-2.0704522,0.111597665,-0.8979522
-0.7524122,-2.675638,-0.17936532,-2.0483475,-2.3369892,-0.052214492,-0.8979522
-1.457945,-2.675638,-0.58961105,-2.9010592,-2.3486245,-0.052214492,-0.82207644
-1.0009565,-2.675638,-0.27000377,-2.243802,-2.343884,-0.052214492,-0.5375204
-1.2013615,-2.675638,-0.49262542,-3.4870913,-2.339359,-0.052214492,-0.19612242
-0.9849737,-2.675638,-0.25885192,-2.8656123,-2.5942605,-0.052214492,0.14523245
-0.99291724,-2.675638,-0.3319913,-2.7854428,-2.2773037,-0.052214492,0.3728598
-2.05916,-2.675638,-0.94261444,-3.9843407,-2.2796738,-0.052214492,0.56250626
-1.0330174,-2.675638,-0.34154153,-2.4747033,-2.5345752,-0.052214492,0.67632
-0.79251224,-2.675638,-0.2985951,-2.1994107,-2.0086124,-0.052214492,0.71425784
-0.9849737,-2.675638,-0.29064652,-2.394865,-2.5621555,-0.052214492,0.5435587
-0.71231186,-2.675638,-0.21276154,-2.5989327,-2.0407174,-0.052214492,0.35386935
-0.7765296,-2.675638,-0.37173474,-2.6168218,-1.7168655,0.022127382,0.10729447
-0.7043687,-2.675638,-0.2826977,-2.7943873,-1.8086557,0.077676974,-0.1392371
-0.80055135,-2.675638,-0.31295016,-2.430312,-1.8200758,0.13180825,-0.30997932
-0.5520071,-2.675638,-0.19045787,-2.110628,-1.8131808,0.12672606,-0.40480244
-0.72839046,-2.675638,-0.24615775,-2.1195724,-2.1579332,0.12672606,-0.4617309
-0.80055135,-2.675638,-0.2810963,-2.1729083,-2.1717234,0.087723166,-0.5185731
-0.9368346,-2.675638,-0.36538753,-2.003956,-2.1579332,-0.04335019,-0.59444886
-1.1773396,-2.675638,-0.4814736,-2.4392564,-2.0292974,-0.04335019,-0.6703247
-1.1372396,-2.675638,-0.5307672,-2.3415291,-1.9693967,-0.04335019,-0.7082626
-1.1533178,-2.675638,-0.4576276,-2.2262442,-2.1993036,0.12424406,-0.72725314
-1.4178448,-2.675638,-0.5562146,-2.4657588,-2.4427848,-0.0231396,-0.7082626
-1.1853789,-2.675638,-0.4592292,-2.4038095,-2.265884,-0.0231396,-0.7082626
-1.0650783,-2.675638,-0.3844882,-2.2083552,-2.518415,-0.0231396,-0.7082626
-0.9528172,-2.675638,-0.39718214,-2.6877155,-2.2152483,-0.0231396,-0.7082626
-1.6022671,-2.675638,-0.85197586,-3.4870913,-1.9144517,-0.0231396,-0.6134395
-1.2815617,-2.675638,-0.54191905,-2.9100037,-2.1924083,-0.0231396,-0.42374995
-0.9688955,-2.675638,-0.30019674,-2.5724306,-2.176248,-0.0231396,-0.1392371
-0.9287953,-2.675638,-0.28750256,-2.8921146,-2.4542048,-0.0231396,0.0693998
-1.1452787,-2.675638,-0.4576276,-3.4870913,-2.4473097,-0.0231396,0.20211759
-0.90477353,-2.675638,-0.32089877,-2.4836478,-2.1348777,-0.0231396,0.42974514
-0.8326123,-2.675638,-0.35583732,-2.243802,-1.8224459,0.05876647,0.5814969
-0.69632924,-2.675638,-0.34474477,-2.110628,-1.8041309,0.05876647,0.5246116
-0.816534,-2.675638,-0.31295016,-2.3415291,-1.9693967,0.114197865,0.39180717
-0.63220745,-2.675638,-0.21276154,-2.3594182,-1.9510818,-0.02952188,0.24009871
-0.32758048,-1.7807395,-0.050585106,-2.1460748,-1.8683411,0.13429026,0.08834713
-1.2334224,-2.675638,-0.6102538,-3.4870913,-1.6362796,0.12932625,-0.06340445
-0.25541922,-1.6713026,-0.13481705,-2.075181,-1.3721131,0.280492,-0.19612242
-0.43974575,-1.6529903,-0.10462408,-1.9241179,-1.6961803,0.13050815,-0.29098886
-0.6001466,-1.726021,-0.23026034,-1.8532243,-1.7444457,0.13180825,-0.34787416
-0.88869524,-2.675638,-0.3081453,-2.767885,-2.2818286,0.13180825,-0.34787416
-0.816534,-2.675638,-0.31769553,-2.7410514,-1.9579768,0.091505274,-0.32892665
-1.0731176,-2.675638,-0.4830752,-2.9100037,-1.9327667,0.12424406,-0.30997932
-1.1853789,-2.675638,-0.49262542,-2.9275613,-2.155563,0.12424406,-0.32892665
-1.25754,-2.675638,-0.5737136,-3.4870913,-1.8500261,0.09528736,-0.34787416
-0.9688955,-2.675638,-0.3955805,-2.9100037,-1.8431311,0.13559036,-0.34787416
-0.9287953,-2.675638,-0.3622438,-2.954395,-2.1072977,-0.018175589,-0.36686465
-0.72839046,-2.675638,-0.30339998,-2.7854428,-1.8523962,0.11916187,-0.36686465
-0.84859526,-2.675638,-0.34314314,-3.0252886,-2.144143,0.09646927,-0.36686465
-0.816534,-2.675638,-0.34474477,-3.4870913,-1.8707112,0.12802616,-0.29098886
-0.8807518,-2.675638,-0.31929713,-3.4870913,-2.1325076,0.07011278,-0.1392371
-1.121257,-2.675638,-0.42897695,-3.4870913,-2.1072977,0.012081206,0.0693998
-0.74446875,-2.675638,-0.2095583,-2.8387787,-2.169353,0.020945476,0.24005558
-1.0249783,-2.675638,-0.33993992,-3.4870913,-2.4427848,0.06751257,0.4866303
-0.9849737,-2.675638,-0.39243677,-3.4870913,-2.1786182,0.059948377,0.5814969
